VendorNumber,VendorName,Brand,Description,Volume,ActualPrice,PurchasePrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesAvgPrice,TotalSalesQuantity,TotalSalesDollars,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
3960,DIAGEO NORTH AMERICA INC,3276,Gordons London Dry,1750.0,14.99,9.62,44631,429350.22,14.48786199756943,44434,643753.66,81641.20999999999,257032.07,214403.44000000006,33.305199383254774,0.9955860276489436,1.4993672531482576,9.62,Large,1895.1399999999999
3960,DIAGEO NORTH AMERICA INC,2767,Johnnie Walker Blue Label,750.0,189.99,139.7,2963,413931.10000000003,198.7136508511409,2761,548648.39,2176.61,257032.07,134717.28999999998,24.554394482047048,0.9318258521768478,1.3254582465535931,139.70000000000002,Large,28219.399999999998
17035,PERNOD RICARD USA,482,Absolut 80 Proof,1000.0,21.99,14.28,28888,412520.64,21.517309265771907,27866,599601.34,29259.3,123780.22,187080.69999999995,31.200847549807005,0.9646219883688729,1.4535062778919376,14.280000000000001,Large,14594.16
3960,DIAGEO NORTH AMERICA INC,8778,Bulleit Bourbon,1750.0,49.99,37.29,10966,408922.14,48.65070766950723,10796,525233.04,19841.33,257032.07,116310.90000000002,22.144627459079878,0.9844975378442459,1.2844328751678744,37.29,Large,6339.3
1128,BROWN-FORMAN CORP,1220,Woodford Reserve Bourbon,750.0,29.99,21.89,18645,408139.05,32.02313776618862,18408,589481.92,14496.36,68601.68,181342.87000000005,30.76309278493224,0.987288817377313,1.4443163916807276,21.89,Large,5187.93
3960,DIAGEO NORTH AMERICA INC,2418,Crown Royal Regal Apple,750.0,22.99,16.53,24558,405943.74,23.48341129962115,24284,570271.16,19122.7,257032.07,164327.42000000004,28.815663762480998,0.9888427396367783,1.4048034340916307,16.53,Large,4529.22
1392,CONSTELLATION BRANDS INC,8504,R M Woodbridge Cab Svgn Cal,1500.0,8.99,5.84,69263,404495.92,10.00080577278751,68667,686725.33,15427.26,79528.99,282229.41,41.09785931443653,0.9913951171621211,1.6977311662377212,5.84,Large,3480.64
660,SAZERAC NORTH AMERICA INC.,3684,Fleischmanns Royal Vodka,1750.0,9.99,7.68,52351,402055.68,10.154385802825576,51954,527560.96,95452.87,17932.33,125505.27999999997,23.789720907324146,0.9924165727493267,1.3121589527102315,7.68,Large,3048.96
3252,E & J GALLO WINERY,14622,La Marca Prosecco,750.0,12.99,8.66,46387,401711.42,12.242253332748643,45608,558344.6900000001,5114.6,61966.91,156633.27000000008,28.053149390567334,0.983206501821631,1.3899149045849881,8.66,Large,6746.14
8004,SAZERAC CO INC,3246,Bentley's Vodka,1750.0,8.79,6.71,59841,401533.11,8.79,59245,520763.55,108849.58,50293.62,119230.44,22.895312085494464,0.9900402733911532,1.2969380034438505,6.71,Large,3999.16
